h rho v
0.0 1224.97705588 5.05135841575
443.307692308 1173.60508463 5.16073038585
886.615384615 1123.8985584 5.27361723189
1329.92307692 1075.8196554 5.39016952776
1773.23076923 1029.33103809 5.51054594298
2216.53846154 984.395851808 5.63491376829
2659.84615385 940.977723491 5.76344948136
3103.15384615 899.040760344 5.89633935613
3546.46153846 858.549548505 6.03378011968
3989.76923077 819.469151701 6.17597966087
4433.07692308 781.765109899 6.3231577955
4876.38461538 745.403437931 6.47554709318
5319.69230769 710.350624126 6.63339377161
5763.0 676.573628917 6.79695866465
6206.30769231 644.039883444 6.96651827117
6649.61538462 612.717288141 7.14236589251
7092.92307692 582.574211314 7.32481286712
7536.23076923 553.579487705 7.51418991202
7979.53846154 525.702417044 7.71084858171
8422.84615385 498.912762588 7.91516285641
8866.15384615 473.180749647 8.12753087287
9309.46153846 448.477064097 8.34837681256
9752.76923077 424.772850879 8.57815296366
10196.0769231 402.039712486 8.8173419755
10639.3846154 380.249707431 9.06645932606
11082.6923077 359.375348708 9.32605602579
11526.0 339.389602228 9.59672158411
11969.3076923 320.265885251 9.87908726774
12412.6153846 301.978064793 10.1738296844
12855.9230769 284.500456024 10.4816747295
13299.2307692 267.807820646 10.8034019372
13742.5384615 251.875365254 11.1398492865
14185.8461538 236.678739682 11.4919185136
14629.1538462 222.194035329 11.8605809958
15072.4615385 208.397783473 12.2468842762
15515.7692308 195.266953556 12.6519593096
15959.0769231 182.77895146 13.0770285244
16402.3846154 170.91161776 13.5234148035
16845.6923077 159.643225955 13.9925515089
17289.0 148.952480679 14.4859936882
17732.3076923 138.818515898 15.0054306254
18175.6153846 129.220893074 15.5526999239
18618.9230769 120.139599316 16.1298033364
19062.2307692 111.5550455 16.7389245964
19505.5384615 103.448064375 17.3824495413
19948.8461538 95.7999086392 18.0629888728
20392.1538462 88.5922489866 18.7834039529
20835.4615385 81.8071721378 19.5468361081
21278.7692308 75.427178837 20.356739995
21722.0769231 69.4351818238 21.2169216834
22165.3846154 63.8145037766 22.13158223
22608.6923077 58.548875226 23.1053676677
23052.0 53.6224324386 24.1434265066
23495.3076923 49.0197152684 25.2514760638
23938.6153846 44.7256649768 26.4358792003
24381.9230769 40.7256220177 27.7037333696
24825.2307692 37.0053237883 29.0629742808
25268.5384615 33.5509023431 30.5224969771
25711.8461538 30.3488820706 32.0922977436
26155.1538462 27.3861773303 33.7836410334
26598.4615385 24.650090049 35.6092565672
27041.7692308 22.1283072745 37.5835729859
27485.0769231 19.8088986847 39.7229959932
27928.3846154 17.680314051 42.0462409111
28371.6923077 15.7313806522 44.5747321261
28815.0 13.9513006387 47.3330852135
29258.3076923 12.329648343 50.3496918315
29701.6153846 10.8563675349 53.6574331321
30144.9230769 9.52176861786 57.2945549078
30588.2307692 8.31652576406 61.3057476502
31031.5384615 7.23167398487 65.7434880779
31474.8461538 6.25860613263 70.6697168389
31918.1538462 5.3890698304 76.1579519247
32361.4615385 4.61516432525 82.2959716829
32804.7692308 3.92933726037 89.1892493175
33248.0769231 3.32438136104 96.9653886516
33691.3846154 2.79343102872 105.779908109
34134.6923077 2.32995883709 115.823860869
34578.0 1.927771923 127.333986663
35021.3076923 1.58100826478 140.606400893
35464.6153846 1.28413283904 156.015298263
35907.9230769 1.03193364632 174.038878236
36351.2307692 0.81951759441 195.295852765
36794.5384615 0.64230622686 220.597758723
37237.8461538 0.496031281982 251.025377514
37681.1538462 0.376730065763 288.04279814
38124.4615385 0.280740619095 333.671823847
38567.7692308 0.204696656348 390.766016354
39011.0769231 0.14552224801 463.454885183
39454.3846154 0.100426214573 557.890049481
39897.6923077 0.0668961916582 683.551852482
40341.0 0.0426923168663 855.652256068
40784.3076923 0.0258404759219 1099.82074662
