t zn zg zG
0.0 0.0 0.0 0
0.583837767442 5.60579743021 2.25862129046 4.49439670046
1.16767553488 22.4691627502 9.0804581912 13.55194762
1.75151330233 50.6596954089 20.5351101512 27.2422699201
2.33535106977 90.2478608062 36.6930425702 45.6358564154
2.91918883721 141.305006555 57.6256030611 68.8040919833
3.50302660465 203.903379153 83.4050381219 96.8192703842
4.08686437209 278.116141079 114.104510231 129.754611508
4.67070213953 364.017388322 149.798115378 167.684279055
5.25453990698 461.682168366 190.560901046 210.683398677
5.83837767442 571.186498632 236.468884657 258.828076571
6.42221544186 692.607385406 287.599072497 312.195418573
7.0060532093 826.022843264 344.029479141 370.863549733
7.58989097674 971.511915001 405.839147383 434.911634411
8.17372874419 1129.15469209 473.108168703 504.419896909
8.75756651163 1299.03233572 545.917704272 579.469642639
9.34140427907 1481.2270983 624.350006528 660.143279871
9.92524204651 1675.82234572 708.488441335 746.52434206
10.509079814 1882.90258002 798.417510746 838.697510778
11.0929175814 2102.55346283 894.222876386 936.748639282
11.6767553488 2334.86183939 995.991383493 1040.76477672
12.2605931163 2579.91576324 1103.81108561 1150.834193
12.8444308837 2837.80452163 1217.77126999 1267.0464044
13.4282686512 3108.61866163 1337.9624837 1389.49219983
14.0121064186 3392.45001697 1464.47656047 1518.26366789
14.595944186 3689.39173568 1597.40664834 1653.45422465
15.1797819535 3999.5383085 1736.84723804 1795.15864232
15.7636197209 4322.98559812 1882.89419224 1943.47307862
16.3474574884 4659.83086927 2035.64477571 2098.49510712
16.9312952558 5010.17281973 2195.1976862 2260.32374841
17.5151330233 5374.11161221 2361.65308644 2429.05950219
18.0989707907 5751.74890724 2535.11263695 2604.80438039
18.6828085581 6143.18789699 2715.67952989 2787.66194115
19.2666463256 6548.53334015 2903.45852397 2977.73732398
19.850484093 6967.89159791 3098.55598036 3175.13728585
20.4343218605 7401.37067096 3301.07989977 3379.97023853
21.0181596279 7849.08023773 3511.13996062 3592.34628696
21.6019973953 8311.13169379 3728.84755848 3812.37726889
22.1858351628 8787.63819248 3954.31584668 4040.17679576
22.7696729302 9278.71468684 4187.65977829 4275.86029486
23.3535106977 9784.47797293 4428.99614934 4519.54505283
23.9373484651 10305.0467345 4678.44364355 4771.35026058
24.5211862326 10840.541589 4936.12287845 5031.3970597
25.105024 11391.0851354 5202.15645303 5299.8085903
25.6888617674 11956.8020035 5476.66899698 5576.71004052
26.2726995349 12537.8189045 5759.78722156 5862.22869768
26.8565373023 13134.2646839 6051.63997218 6156.49400105
27.4403750698 13746.2703755 6352.35828278 6459.63759655
28.0242128372 14373.9692581 6662.0754321 6771.79339324
28.6080506047 15017.4969134 6980.92700182 7093.09762174
29.1918883721 15676.9912862 7309.05093679 7423.68889473
29.7757261395 16352.5927468 7646.58760736 7763.70826956
30.359563907 17044.4441558 7993.67987391 8113.29931303
30.9434016744 17752.6909303 8350.47315371 8472.60816859
31.5272394419 18477.4811137 8717.11549019 8841.78362582
32.1110772093 19218.9654474 9093.75762471 9220.97719256
32.6949149767 19977.2974453 9480.55307101 9610.34316961
33.2787527442 20752.6334704 9877.65819239 10010.0387282
33.8625905116 21545.1328159 10285.2322818 10420.2239906
34.4464282791 22354.9577874 10703.4376449 10841.062113
35.0302660465 23182.2737897 11132.4396866 11272.7193728
35.614103814 24027.2494162 11572.4070002 11715.3652581
36.1979415814 24890.0565422 12023.511461 12169.1725613
36.7817793488 25770.8704215 12485.9283228 12634.317476
37.3656171163 26669.8697868 12959.8363184 13110.9796984
37.9494548837 27587.2369551 13445.4177646 13599.3425317
38.5332926512 28523.1579356 13942.8586708 14099.5929957
39.1171304186 29477.8225438 14452.3488524 14611.9219405
39.700968186 30451.4245191 14974.0820489 15136.5241647
40.2848059535 31444.1616479 15508.2560466 15673.5985388
40.8686437209 32456.2358919 16055.0728072 16223.3481338
41.4524814884 33487.8535214 16614.738601 16785.9803552
42.0363192558 34539.2252549 17187.4641465 17361.7070824
42.6201570233 35610.5664044 17773.4647557 17950.7448152
43.2039947907 36702.0970275 18372.9604862 18553.3148254
43.7878325581 37814.0420857 18986.1762997 19169.6433165
44.3716703256 38946.6316106 19613.3422275 19799.9615891
44.955508093 40100.1008769 20254.6935443 20444.5062154
45.5393458605 41274.6905838 20910.4709496 21103.5192206
46.1231836279 42470.6470449 21580.9207567 21777.2482733
46.7070213953 43688.222387 22266.2950926 22465.9468845
47.2908591628 44927.6747581 22966.8521052 23169.8746164
47.8746969302 46189.2685461 23682.8561824 23889.2973013
48.4585346977 47473.2746073 24414.5781806 24624.4872708
49.0423724651 48779.9705073 25162.2956652 25375.7235968
49.6262102326 50109.6407729 25926.2931632 26143.2923444
50.210048 51462.5771577 26706.8624282 26927.4868377
50.7938857674 52839.0789209 27504.3027191 27728.6079389
51.3777235349 54239.4531203 28318.9210941 28546.9643422
51.9615613023 55664.014922 29151.032719 29382.8728838
52.5453990698 57113.0879249 30000.961193 30236.658867
53.1292368372 58587.0045047 30869.0388915 31108.6564065
53.7130746047 60086.1061752 31755.6073284 31999.2087906
54.2969123721 61610.7439706 32661.017538 32908.6688639
54.8807501395 63161.2788495 33585.6304787 33837.3994318
55.464587907 64738.0821214 34529.8174602 34785.7736875
56.0484256744 66341.5358989 35493.960595 35754.1756649
56.6322634419 67972.0335757 36478.4532768 36743.0007171
57.2161012093 69629.9803339 37483.7006878 37752.6560245
57.7999389767 71315.7936821 38510.1203364 38783.5611329
58.3837767442 73029.9040261 39558.1426287 39836.1485257
