t zn zg zG
0.0 0.0 0.0 0
0.583837767442 5.60579743021 2.26197682758 4.50110777469
1.16767553488 22.4691627502 9.09388033968 13.5721717359
1.75151330233 50.6596954089 20.5653099853 27.2829922149
2.33535106977 90.2478608062 36.7467311641 45.7043388687
2.91918883721 141.305006555 57.709491489 68.9079684971
3.50302660465 203.903379153 83.5258374582 96.9666432842
4.08686437209 278.116141079 114.26893155 129.954149476
4.67070213953 364.017388322 150.012869754 167.945316509
5.25453990698 461.682168366 190.832699553 211.016036603
5.83837767442 571.186498632 236.804438369 259.243284832
6.42221544186 692.607385406 288.005092488 312.70513969
7.0060532093 826.022843264 344.512676486 371.480804167
7.58989097674 971.511915001 406.406233157 435.65062735
8.17372874419 1129.15469209 473.765853979 505.296126566
8.75756651163 1299.03233572 546.672700124 580.50001009
9.34140427907 1481.2270983 625.20902403 661.346200426
9.92524204651 1675.82234572 709.458191562 747.919858194
10.509079814 1882.90258002 799.504704772 840.307406625
11.0929175814 2102.55346283 895.434225286 938.596556702
11.6767553488 2334.86183939 997.33359834 1042.87633296
12.2605931163 2579.91576324 1105.29087748 1153.23709998
12.8444308837 2837.80452163 1219.39534996 1269.77058955
13.4282686512 3108.61866163 1339.73756284 1392.56992861
14.0121064186 3392.45001697 1466.40934986 1521.7296679
14.595944186 3689.39173568 1599.50385904 1657.34581148
15.1797819535 3999.5383085 1739.11558113 1799.51584689
15.7636197209 4322.98559812 1885.3403788 1948.33877637
16.3474574884 4659.83086927 2038.27551681 2103.91514876
16.9312952558 5010.17281973 2198.01969292 2266.34709242
17.5151330233 5374.11161221 2364.67306985 2435.738349
18.0989707907 5751.74890724 2538.33730812 2612.19430824
18.6828085581 6143.18789699 2719.1155999 2795.82204378
19.2666463256 6548.53334015 2907.11270389 2986.73034992
19.850484093 6967.89159791 3102.43498127 3185.02977957
20.4343218605 7401.37067096 3305.19043274 3390.83268325
21.0181596279 7849.08023773 3515.48873672 3604.2532493
21.6019973953 8311.13169379 3733.44128879 3825.40754525
22.1858351628 8787.63819248 3959.16124228 4054.41356051
22.7696729302 9278.71468684 4192.76355025 4291.3912503
23.3535106977 9784.47797293 4434.36500873 4536.46258097
23.9373484651 10305.0467345 4684.08430145 4789.75157673
24.5211862326 10840.541589 4942.04204593 5051.38436788
25.105024 11391.0851354 5208.36084117 5321.48924049
25.6888617674 11956.8020035 5483.16531685 5600.19668774
26.2726995349 12537.8189045 5766.58218423 5887.63946288
26.8565373023 13134.2646839 6058.74028872 6183.95263397
27.4403750698 13746.2703755 6359.77066428 6489.27364032
28.0242128372 14373.9692581 6669.80658962 6803.74235089
28.6080506047 15017.4969134 6988.98364644 7127.50112464
29.1918883721 15676.9912862 7317.43977959 7460.69487286
29.7757261395 16352.5927468 7655.3153594 7803.47112369
30.359563907 17044.4441558 8002.75324628 8155.98008884
30.9434016744 17752.6909303 8359.89885748 8518.37473261
31.5272394419 18477.4811137 8726.90023643 8890.81084338
32.1110772093 19218.9654474 9103.9081245 9273.44710761
32.6949149767 19977.2974453 9491.07603542 9666.44518647
33.2787527442 20752.6334704 9888.56033249 10069.9697953
33.8625905116 21545.1328159 10296.5203087 10484.1887859
34.4464282791 22354.9577874 10715.1182697 10909.273232
35.0302660465 23182.2737897 11144.5196202 11345.3975176
35.614103814 24027.2494162 11584.8929538 11792.7394292
36.1979415814 24890.0565422 12036.4101457 12251.4802508
36.7817793488 25770.8704215 12499.2464496 12721.8048632
37.3656171163 26669.8697868 12973.5805985 13203.9018469
37.9494548837 27587.2369551 13459.594909 13697.9635891
38.5332926512 28523.1579356 13957.4753905 14204.1863946
39.1171304186 29477.8225438 14467.4118586 14722.770602
39.700968186 30451.4245191 14989.5980525 15253.9207034
40.2848059535 31444.1616479 15524.2317588 15797.8454704
40.8686437209 32456.2358919 16071.514939 16354.758084
41.4524814884 33487.8535214 16631.6538636 16924.8762711
42.0363192558 34539.2252549 17204.8592509 17508.4224458
42.6201570233 35610.5664044 17791.346413 18105.6238575
43.2039947907 36702.0970275 18391.3354075 18716.7127452
43.7878325581 37814.0420857 19005.051196 19341.9264983
44.3716703256 38946.6316106 19632.7238099 19981.5078249
44.955508093 40100.1008769 20274.5885239 20635.7049278
45.5393458605 41274.6905838 20930.8860374 21304.7716879
46.1231836279 42470.6470449 21601.8626639 21988.9678566
46.7070213953 43688.222387 22287.7705302 22688.5592569
47.2908591628 44927.6747581 22988.8677843 23403.8179945
47.8746969302 46189.2685461 23705.418814 24135.0226778
48.4585346977 47473.2746073 24437.6944758 24882.4586502
49.0423724651 48779.9705073 25185.9723351 25646.4182323
49.6262102326 50109.6407729 25950.5369189 26427.2009772
50.210048 51462.5771577 26731.6799807 27225.113938
50.7938857674 52839.0789209 27529.7007796 28040.4719491
51.3777235349 54239.4531203 28344.9063736 28873.5979223
51.9615613023 55664.014922 29177.6119285 29724.8231582
52.5453990698 57113.0879249 30028.1410436 30594.4876741
53.1292368372 58587.0045047 30896.8260944 31482.9405496
53.7130746047 60086.1061752 31784.0085946 32390.540291
54.2969123721 61610.7439706 32690.0395785 33317.6552163
54.8807501395 63161.2788495 33615.2800047 34264.6638613
55.464587907 64738.0821214 34560.1011827 35231.955409
56.0484256744 66341.5358989 35524.8852251 36219.9301441
56.6322634419 67972.0335757 36510.0255256 37228.9999339
57.2161012093 69629.9803339 37515.9272663 38259.588738
57.7999389767 71315.7936821 38543.0079557 39312.1331489
58.3837767442 73029.9040261 39591.6979999 40387.082966
