t zn zg zG
0.0 0.0 0.0 0
0.583837767442 5.60579743021 5.05185843774 10.080870995
1.16767553488 22.4691627502 20.2534067803 30.3113739172
1.75151330233 50.6596954089 45.6742444767 60.7611326977
2.33535106977 90.2478608062 81.3848369267 101.500650218
2.91918883721 141.305006555 127.456531743 152.60132466
3.50302660465 203.903379153 183.961575424 214.135466265
4.08686437209 278.116141079 250.973130448 286.176314515
4.67070213953 364.017388322 328.565292804 368.798055753
5.25453990698 461.682168366 416.813109976 462.075841254
5.83837767442 571.186498632 515.792599385 566.085805757
6.42221544186 692.607385406 625.580767318 680.905086483
7.0060532093 826.022843264 746.255628349 806.611842646
7.58989097674 971.511915001 877.896225273 943.285275475
8.17372874419 1129.15469209 1020.58264957 1091.00564877
8.75756651163 1299.03233572 1174.39606241 1249.85430999
9.34140427907 1481.2270983 1339.41871623 1419.91371195
9.92524204651 1675.82234572 1515.7339769 1601.26743503
10.509079814 1882.90258002 1703.42634646 1794.00021006
11.0929175814 2102.55346283 1902.58148655 1998.19794178
11.6767553488 2334.86183939 2113.2862424 2213.94773299
12.2605931163 2579.91576324 2335.62866756 2441.33790931
12.8444308837 2837.80452163 2569.69804927 2680.4580447
13.4282686512 3108.61866163 2815.58493461 2931.39898766
14.0121064186 3392.45001697 3073.38115731 3194.25288816
14.595944186 3689.39173568 3343.17986539 3469.11322539
15.1797819535 3999.5383085 3625.07554959 3756.07483621
15.7636197209 4322.98559812 3919.16407261 4055.23394459
16.3474574884 4659.83086927 4225.54269917 4366.68819169
16.9312952558 5010.17281973 4544.31012706 4690.53666704
17.5151330233 5374.11161221 4875.56651899 5026.87994049
18.0989707907 5751.74890724 5219.41353548 5375.82009518
18.6828085581 6143.18789699 5575.9543687 5737.46076149
19.2666463256 6548.53334015 5945.29377735 6111.90715202
19.850484093 6967.89159791 6327.53812261 6499.26609762
20.4343218605 7401.37067096 6722.79540518 6899.64608457
21.0181596279 7849.08023773 7131.17530349 7313.15729286
21.6019973953 8311.13169379 7552.7892131 7739.91163569
22.1858351628 8787.63819248 7987.75028735 8180.02280025
22.7696729302 9278.71468684 8436.1734793 8633.60628971
23.3535106977 9784.47797293 8898.17558498 9100.77946664
23.9373484651 10305.0467345 9373.87528812 9581.6615978
24.5211862326 10840.541589 9863.39320625 10076.3739003
25.105024 11391.0851354 10366.8519383 10585.0395896
25.6888617674 11956.8020035 10884.3761141 11107.7839283
26.2726995349 12537.8189045 11416.0924448 11644.734278
26.8565373023 13134.2646839 11962.1297758 12196.020151
27.4403750698 13746.2703755 12522.6191411 12761.7732655
28.0242128372 14373.9692581 13097.6938194 13342.1276018
28.6080506047 15017.4969134 13687.4893924 13937.2194604
29.1918883721 15676.9912862 14292.143805 14547.1875223
29.7757261395 16352.5927468 14911.7974274 15172.1729117
30.359563907 17044.4441558 15546.5931201 15812.3192606
30.9434016744 17752.6909303 16196.6763004 16467.7727755
31.5272394419 18477.4811137 16862.1950117 17138.6823071
32.1110772093 19218.9654474 17543.2999952 17825.1994219
32.6949149767 19977.2974453 18240.1447649 18527.4784771
33.2787527442 20752.6334704 18952.8856839 19245.6766974
33.8625905116 21545.1328159 19681.6820452 19979.9542558
34.4464282791 22354.9577874 20426.6961546 20730.4743563
35.0302660465 23182.2737897 21188.0934168 21497.4033208
35.614103814 24027.2494162 21966.0424252 22280.9106784
36.1979415814 24890.0565422 22760.7150552 23081.1692587
36.7817793488 25770.8704215 23572.2865603 23898.355289
37.3656171163 26669.8697868 24400.9356737 24732.6484946
37.9494548837 27587.2369551 25246.8447119 25584.232204
38.5332926512 28523.1579356 26110.1996844 26453.2934574
39.1171304186 29477.8225438 26991.1904066 27340.0231206
39.700968186 30451.4245191 27890.0106179 28244.6160029
40.2848059535 31444.1616479 28806.8581048 29167.2709803
40.8686437209 32456.2358919 29741.9348288 30108.1911236
41.4524814884 33487.8535214 30695.4470604 31067.5838325
42.0363192558 34539.2252549 31667.6055179 32045.6609745
42.6201570233 35610.5664044 32658.6255136 33042.6390311
43.2039947907 36702.0970275 33668.7271047 34058.7392493
43.7878325581 37814.0420857 34698.1352531 35094.1878009
44.3716703256 38946.6316106 35747.0799901 36149.2159478
44.955508093 40100.1008769 36815.7965905 37224.0602157
45.5393458605 41274.6905838 37904.5257536 38318.9625759
46.1231836279 42470.6470449 39013.5137929 39434.1706347
46.7070213953 43688.222387 40143.0128352 40569.9378327
47.2908591628 44927.6747581 41293.2810285 41726.5236527
47.8746969302 46189.2685461 42464.5827607 42904.1938388
48.4585346977 47473.2746073 43657.1888882 44103.2206249
49.0423724651 48779.9705073 44871.3769764 45323.8829754
49.6262102326 50109.6407729 46107.4315523 46566.466838
50.210048 51462.5771577 47365.6443694 47831.2654084
50.7938857674 52839.0789209 48646.3146869 49118.5794101
51.3777235349 54239.4531203 49949.7495626 50428.7173871
51.9615613023 55664.014922 51276.2641626 51761.9960137
52.5453990698 57113.0879249 52626.1820859 53118.7404193
53.1292368372 58587.0045047 53999.8357081 54499.2845322
53.7130746047 60086.1061752 55397.5665429 55903.9714413
54.2969123721 61610.7439706 56819.7256248 57333.1537786
54.8807501395 63161.2788495 58266.673912 58787.1941227
55.464587907 64738.0821214 59738.7827144 60266.4654262
56.0484256744 66341.5358989 61236.4341443 61771.3514671
56.6322634419 67972.0335757 62760.0215956 63302.2473277
57.2161012093 69629.9803339 64309.9502503 64859.5599014
57.7999389767 71315.7936821 65886.6376169 66443.708431
58.3837767442 73029.9040261 67490.5141014 68055.1250798
