t zn zg zG
0.0 0.0 0.0 0
0.583837767442 5.60579743021 5.05072323532 10.0786005902
1.16767553488 22.4691627502 20.2488659706 30.3046617231
1.75151330233 50.6596954089 45.6640276549 60.7480059972
2.33535106977 90.2478608062 81.366673688 101.479435193
2.91918883721 141.305006555 127.428151683 152.570747163
3.50302660465 203.903379153 183.920708137 214.094753091
4.08686437209 278.116141079 250.917505529 286.125295129
4.67070213953 364.017388322 328.492639849 368.73726442
5.25453990698 461.682168366 416.72115858 462.006619536
5.83837767442 571.186498632 515.679079143 566.010405327
6.42221544186 692.607385406 625.443407825 680.8267722
7.0060532093 826.022843264 746.092159201 806.534995855
7.58989097674 971.511915001 877.704376065 943.215497479
8.17372874419 1129.15469209 1020.3601499 1090.94986442
8.75756651163 1299.03233572 1174.14064187 1249.82087134
9.34140427907 1481.2270983 1339.12810441 1419.91250195
9.92524204651 1675.82234572 1515.4059034 1601.30997117
10.509079814 1882.90258002 1703.05854088 1794.09974793
11.0929175814 2102.55346283 1902.17167848 1998.36957852
11.6767553488 2334.86183939 2112.83216144 2214.20851053
12.2605931163 2579.91576324 2335.12804329 2441.70691737
12.8444308837 2837.80452163 2569.1486113 2680.95652352
13.4282686512 3108.61866163 2814.98441253 2932.05043035
14.0121064186 3392.45001697 3072.72728071 3195.08314268
14.595944186 3689.39173568 3342.47036388 3470.15059605
15.1797819535 3999.5383085 3624.30815276 3757.35018471
15.7636197209 4322.98559812 3918.33651005 4056.78079042
16.3474574884 4659.83086927 4224.65270048 4368.54281203
16.9312952558 5010.17281973 4543.35542183 4692.73819588
17.5151330233 5374.11161221 4874.54483681 5029.47046708
18.0989707907 5751.74890724 5218.32260596 5378.84476172
18.6828085581 6143.18789699 5574.79192143 5740.96785997
19.2666463256 6548.53334015 5944.05754192 6115.94822019
19.850484093 6967.89159791 6326.22582862 6503.89601404
20.4343218605 7401.37067096 6721.40478222 6904.92316262
21.0181596279 7849.08023773 7129.70408116 7319.14337379
21.6019973953 8311.13169379 7551.23512099 7746.67218056
22.1858351628 8787.63819248 7986.11105506 8187.62698069
22.7696729302 9278.71468684 8434.44683642 8642.12707756
23.3535106977 9784.47797293 8896.35926112 9110.29372232
23.9373484651 10305.0467345 9371.96701286 9592.25015736
24.5211862326 10840.541589 9861.39070919 10088.1216613
25.105024 11391.0851354 10364.7529491 10598.0355952
25.6888617674 11956.8020035 10882.1783622 11122.1214506
26.2726995349 12537.8189045 11413.7936599 11660.5108992
26.8565373023 13134.2646839 11959.7276875 12213.3378436
27.4403750698 13746.2703755 12520.111479 12780.7384707
28.0242128372 14373.9692581 13095.0783131 13362.851306
28.6080506047 15017.4969134 13684.7637714 13959.8172708
29.1918883721 15676.9912862 14289.3057989 14571.7797401
29.7757261395 16352.5927468 14908.8447659 15198.884604
30.359563907 17044.4441558 15543.5235328 15841.2803304
30.9434016744 17752.6909303 16193.4875168 16499.1180298
31.5272394419 18477.4811137 16858.8847614 17172.5515236
32.1110772093 19218.9654474 17539.8660079 17861.7374131
32.6949149767 19977.2974453 18236.5847701 18566.8351532
33.2787527442 20752.6334704 18949.1974112 19288.0071271
33.8625905116 21545.1328159 19677.8632243 20025.4187249
34.4464282791 22354.9577874 20422.744515 20779.2384243
35.0302660465 23182.2737897 21184.0066881 21549.637876
35.614103814 24027.2494162 21961.8183371 22336.7919902
36.1979415814 24890.0565422 22756.3513371 23140.8790286
36.7817793488 25770.8704215 23567.780942 23962.080699
37.3656171163 26669.8697868 24396.2858846 24800.5822538
37.9494548837 27587.2369551 25242.0484817 25656.5725926
38.5332926512 28523.1579356 26105.2547427 26530.2443691
39.1171304186 29477.8225438 26986.0944829 27421.7941027
39.700968186 30451.4245191 27884.7614419 28331.4222939
40.2848059535 31444.1616479 28801.4534061 29259.3335457
40.8686437209 32456.2358919 29736.372337 30205.7366893
41.4524814884 33487.8535214 30689.724505 31170.8449159
42.0363192558 34539.2252549 31661.7206286 32154.8759137
42.6201570233 35610.5664044 32652.5760199 33158.0520114
43.2039947907 36702.0970275 33662.5107363 34180.6003282
43.7878325581 37814.0420857 34691.7497395 35222.7529296
44.3716703256 38946.6316106 35740.523061 36284.7469918
44.955508093 40100.1008769 36809.0659754 37366.8249727
45.5393458605 41274.6905838 37897.6191821 38469.2347907
46.1231836279 42470.6470449 39006.4289946 39592.230013
46.7070213953 43688.222387 40135.7475397 40736.0700519
47.2908591628 44927.6747581 41285.8329655 41901.0203707
47.8746969302 46189.2685461 42456.9496597 43087.3527005
48.4585346977 47473.2746073 43649.3684787 44295.3452666
49.0423724651 48779.9705073 44863.3669882 45525.2830269
49.6262102326 50109.6407729 46099.2297149 46777.4579221
50.210048 51462.5771577 47357.2484124 48052.1691391
50.7938857674 52839.0789209 48637.7223398 49349.7233876
51.3777235349 54239.4531203 49940.9585551 50670.4351913
51.9615613023 55664.014922 51267.2722243 52014.6271951
52.5453990698 57113.0879249 52616.9869464 53382.6304883
53.1292368372 58587.0045047 53990.4350969 54774.7849454
53.7130746047 60086.1061752 55387.9581897 56191.4395867
54.2969123721 61610.7439706 56809.9072591 57632.9529575
54.8807501395 63161.2788495 58256.6432635 59099.6935309
55.464587907 64738.0821214 59728.5375126 60592.0401319
56.0484256744 66341.5358989 61225.9721189 62110.3823875
56.6322634419 67972.0335757 62749.340476 63655.1212032
57.2161012093 69629.9803339 64299.0477663 65226.6692681
57.7999389767 71315.7936821 65875.511498 66825.4515908
58.3837767442 73029.9040261 67479.1620773 68451.9060691
